subgroup,n,n_crash,auroc,auroc_lo,auroc_hi
Overall,273,68,0.9265886748984806,0.8822346600331675,0.9583202448360265
Age < 65,176,45,0.9294737841945289,0.8791664421695402,0.9666727108718995
Age ≥ 65,97,23,0.9616666666666667,0.9015945531261987,0.9977863562091503
Male,158,42,0.9315551346801346,0.8777630588554305,0.9702472607167328
Female,115,26,0.9226974496122005,0.8484647693939138,0.9741575264843557
BMI < 25,191,43,0.9197921316272379,0.8665998882070312,0.966185165671467
BMI 25-30,72,21,0.9479967948717949,0.8703921568627451,0.9930921985815603
BMI ≥ 30,10,4,,,
ASA I-II,219,52,0.9406348410390131,0.8987951667937009,0.9690321839584796
ASA III-IV,49,15,0.8901737967914438,0.74143962510898,0.9753323482503049
Hypertension,107,29,0.9493737294248804,0.877511086008474,0.9848222335954004
No Hypertension,166,39,0.9128106577845211,0.8496943811853946,0.9597995923913043
Diabetes,42,15,0.9751543209876543,0.9297511574074073,1.0
No Diabetes,231,53,0.9249252194223271,0.8709891902380226,0.9646977124183006
