Variable,Overall,Crash,No Crash,p-value
N,909,228,681,
Age (years),57.8 ± 15.2 (N=907),59.0 ± 15.0 (N=227),57.4 ± 15.3 (N=680),0.164
Male sex,522 (57.4%),137 (60.1%),385 (56.5%),0.389
Weight (kg),62.0 ± 12.5 (N=909),62.1 ± 12.4 (N=228),62.0 ± 12.6 (N=681),0.886
Height (cm),163.1 ± 8.8 (N=909),163.4 ± 8.9 (N=228),163.0 ± 8.8 (N=681),0.568
BMI (kg/m²),23.2 ± 3.7 (N=909),23.2 ± 3.7 (N=228),23.2 ± 3.7 (N=681),0.864
ASA Physical Status,2.0 ± 0.6 (N=890),2.1 ± 0.6 (N=224),2.0 ± 0.6 (N=666),0.039
Hypertension,346 (38.1%),96 (42.1%),250 (36.7%),0.170
Diabetes mellitus,124 (13.6%),38 (16.7%),86 (12.6%),0.154
— Haemodynamics,,,,
Pre-induction MAP (mmHg)†,102.9 ± 31.0 (N=14),107.5 ± 31.0 (N=12),75.8 ± 13.8 (N=2),0.091
Nadir MAP during induction (mmHg)†,52.5 ± 15.8 (N=24),45.9 ± 14.8 (N=15),63.7 ± 10.5 (N=9),0.002
MAP drop (% of baseline)†,58.0 ± 32.2 (N=37),71.4 ± 24.1 (N=28),16.2 ± 10.2 (N=9),<0.001
— PPG Features,,,,
Reflection Index (RI),0.988 ± 0.034 (N=664),0.993 ± 0.026 (N=185),0.986 ± 0.036 (N=479),0.011
PPG Amplitude,0.48 ± 0.13 (N=664),0.48 ± 0.12 (N=185),0.48 ± 0.13 (N=479),0.972
Perfusion Index (PI),82.72 ± 17.95 (N=305),81.88 ± 19.11 (N=88),83.06 ± 17.50 (N=217),0.617
