lower_bound_mmHg,observed_coverage_threshold,inrange_fraction_threshold,continuity_seconds,retained_n,labelled_n,events,non_events,event_rate
20,0.5,0.5,0,14,14,8,6,0.5714285714285714
20,0.5,0.5,30,14,14,8,6,0.5714285714285714
20,0.5,0.5,60,14,14,8,6,0.5714285714285714
20,0.5,0.5,120,13,13,7,6,0.5384615384615384
20,0.5,0.7,0,11,11,6,5,0.5454545454545454
20,0.5,0.7,30,11,11,6,5,0.5454545454545454
20,0.5,0.7,60,11,11,6,5,0.5454545454545454
20,0.5,0.7,120,11,11,6,5,0.5454545454545454
20,0.5,0.8,0,10,10,5,5,0.5
20,0.5,0.8,30,10,10,5,5,0.5
20,0.5,0.8,60,10,10,5,5,0.5
20,0.5,0.8,120,10,10,5,5,0.5
20,0.5,0.9,0,9,9,4,5,0.4444444444444444
20,0.5,0.9,30,9,9,4,5,0.4444444444444444
20,0.5,0.9,60,9,9,4,5,0.4444444444444444
20,0.5,0.9,120,9,9,4,5,0.4444444444444444
20,0.7,0.5,0,10,10,5,5,0.5
20,0.7,0.5,30,10,10,5,5,0.5
20,0.7,0.5,60,10,10,5,5,0.5
20,0.7,0.5,120,10,10,5,5,0.5
20,0.7,0.7,0,9,9,5,4,0.5555555555555556
20,0.7,0.7,30,9,9,5,4,0.5555555555555556
20,0.7,0.7,60,9,9,5,4,0.5555555555555556
20,0.7,0.7,120,9,9,5,4,0.5555555555555556
20,0.7,0.8,0,8,8,4,4,0.5
20,0.7,0.8,30,8,8,4,4,0.5
20,0.7,0.8,60,8,8,4,4,0.5
20,0.7,0.8,120,8,8,4,4,0.5
20,0.7,0.9,0,7,7,3,4,0.42857142857142855
20,0.7,0.9,30,7,7,3,4,0.42857142857142855
20,0.7,0.9,60,7,7,3,4,0.42857142857142855
20,0.7,0.9,120,7,7,3,4,0.42857142857142855
20,0.8,0.5,0,10,10,5,5,0.5
20,0.8,0.5,30,10,10,5,5,0.5
20,0.8,0.5,60,10,10,5,5,0.5
20,0.8,0.5,120,10,10,5,5,0.5
20,0.8,0.7,0,9,9,5,4,0.5555555555555556
20,0.8,0.7,30,9,9,5,4,0.5555555555555556
20,0.8,0.7,60,9,9,5,4,0.5555555555555556
20,0.8,0.7,120,9,9,5,4,0.5555555555555556
20,0.8,0.8,0,8,8,4,4,0.5
20,0.8,0.8,30,8,8,4,4,0.5
20,0.8,0.8,60,8,8,4,4,0.5
20,0.8,0.8,120,8,8,4,4,0.5
20,0.8,0.9,0,7,7,3,4,0.42857142857142855
20,0.8,0.9,30,7,7,3,4,0.42857142857142855
20,0.8,0.9,60,7,7,3,4,0.42857142857142855
20,0.8,0.9,120,7,7,3,4,0.42857142857142855
20,0.9,0.5,0,9,9,4,5,0.4444444444444444
20,0.9,0.5,30,9,9,4,5,0.4444444444444444
20,0.9,0.5,60,9,9,4,5,0.4444444444444444
20,0.9,0.5,120,9,9,4,5,0.4444444444444444
20,0.9,0.7,0,8,8,4,4,0.5
20,0.9,0.7,30,8,8,4,4,0.5
20,0.9,0.7,60,8,8,4,4,0.5
20,0.9,0.7,120,8,8,4,4,0.5
20,0.9,0.8,0,7,7,3,4,0.42857142857142855
20,0.9,0.8,30,7,7,3,4,0.42857142857142855
20,0.9,0.8,60,7,7,3,4,0.42857142857142855
20,0.9,0.8,120,7,7,3,4,0.42857142857142855
20,0.9,0.9,0,7,7,3,4,0.42857142857142855
20,0.9,0.9,30,7,7,3,4,0.42857142857142855
20,0.9,0.9,60,7,7,3,4,0.42857142857142855
20,0.9,0.9,120,7,7,3,4,0.42857142857142855
30,0.5,0.5,0,13,13,8,5,0.6153846153846154
30,0.5,0.5,30,13,13,8,5,0.6153846153846154
30,0.5,0.5,60,13,13,8,5,0.6153846153846154
30,0.5,0.5,120,12,12,7,5,0.5833333333333334
30,0.5,0.7,0,10,10,6,4,0.6
30,0.5,0.7,30,10,10,6,4,0.6
30,0.5,0.7,60,10,10,6,4,0.6
30,0.5,0.7,120,10,10,6,4,0.6
30,0.5,0.8,0,9,9,5,4,0.5555555555555556
30,0.5,0.8,30,9,9,5,4,0.5555555555555556
30,0.5,0.8,60,9,9,5,4,0.5555555555555556
30,0.5,0.8,120,9,9,5,4,0.5555555555555556
30,0.5,0.9,0,8,8,4,4,0.5
30,0.5,0.9,30,8,8,4,4,0.5
30,0.5,0.9,60,8,8,4,4,0.5
30,0.5,0.9,120,8,8,4,4,0.5
30,0.7,0.5,0,9,9,5,4,0.5555555555555556
30,0.7,0.5,30,9,9,5,4,0.5555555555555556
30,0.7,0.5,60,9,9,5,4,0.5555555555555556
30,0.7,0.5,120,9,9,5,4,0.5555555555555556
30,0.7,0.7,0,8,8,5,3,0.625
30,0.7,0.7,30,8,8,5,3,0.625
30,0.7,0.7,60,8,8,5,3,0.625
30,0.7,0.7,120,8,8,5,3,0.625
30,0.7,0.8,0,7,7,4,3,0.5714285714285714
30,0.7,0.8,30,7,7,4,3,0.5714285714285714
30,0.7,0.8,60,7,7,4,3,0.5714285714285714
30,0.7,0.8,120,7,7,4,3,0.5714285714285714
30,0.7,0.9,0,6,6,3,3,0.5
30,0.7,0.9,30,6,6,3,3,0.5
30,0.7,0.9,60,6,6,3,3,0.5
30,0.7,0.9,120,6,6,3,3,0.5
30,0.8,0.5,0,9,9,5,4,0.5555555555555556
30,0.8,0.5,30,9,9,5,4,0.5555555555555556
30,0.8,0.5,60,9,9,5,4,0.5555555555555556
30,0.8,0.5,120,9,9,5,4,0.5555555555555556
30,0.8,0.7,0,8,8,5,3,0.625
30,0.8,0.7,30,8,8,5,3,0.625
30,0.8,0.7,60,8,8,5,3,0.625
30,0.8,0.7,120,8,8,5,3,0.625
30,0.8,0.8,0,7,7,4,3,0.5714285714285714
30,0.8,0.8,30,7,7,4,3,0.5714285714285714
30,0.8,0.8,60,7,7,4,3,0.5714285714285714
30,0.8,0.8,120,7,7,4,3,0.5714285714285714
30,0.8,0.9,0,6,6,3,3,0.5
30,0.8,0.9,30,6,6,3,3,0.5
30,0.8,0.9,60,6,6,3,3,0.5
30,0.8,0.9,120,6,6,3,3,0.5
30,0.9,0.5,0,8,8,4,4,0.5
30,0.9,0.5,30,8,8,4,4,0.5
30,0.9,0.5,60,8,8,4,4,0.5
30,0.9,0.5,120,8,8,4,4,0.5
30,0.9,0.7,0,7,7,4,3,0.5714285714285714
30,0.9,0.7,30,7,7,4,3,0.5714285714285714
30,0.9,0.7,60,7,7,4,3,0.5714285714285714
30,0.9,0.7,120,7,7,4,3,0.5714285714285714
30,0.9,0.8,0,6,6,3,3,0.5
30,0.9,0.8,30,6,6,3,3,0.5
30,0.9,0.8,60,6,6,3,3,0.5
30,0.9,0.8,120,6,6,3,3,0.5
30,0.9,0.9,0,6,6,3,3,0.5
30,0.9,0.9,30,6,6,3,3,0.5
30,0.9,0.9,60,6,6,3,3,0.5
30,0.9,0.9,120,6,6,3,3,0.5
40,0.5,0.5,0,12,12,8,4,0.6666666666666666
40,0.5,0.5,30,12,12,8,4,0.6666666666666666
40,0.5,0.5,60,12,12,8,4,0.6666666666666666
40,0.5,0.5,120,11,11,7,4,0.6363636363636364
40,0.5,0.7,0,10,10,6,4,0.6
40,0.5,0.7,30,10,10,6,4,0.6
40,0.5,0.7,60,10,10,6,4,0.6
40,0.5,0.7,120,10,10,6,4,0.6
40,0.5,0.8,0,9,9,5,4,0.5555555555555556
40,0.5,0.8,30,9,9,5,4,0.5555555555555556
40,0.5,0.8,60,9,9,5,4,0.5555555555555556
40,0.5,0.8,120,9,9,5,4,0.5555555555555556
40,0.5,0.9,0,8,8,4,4,0.5
40,0.5,0.9,30,8,8,4,4,0.5
40,0.5,0.9,60,8,8,4,4,0.5
40,0.5,0.9,120,8,8,4,4,0.5
40,0.7,0.5,0,8,8,5,3,0.625
40,0.7,0.5,30,8,8,5,3,0.625
40,0.7,0.5,60,8,8,5,3,0.625
40,0.7,0.5,120,8,8,5,3,0.625
40,0.7,0.7,0,8,8,5,3,0.625
40,0.7,0.7,30,8,8,5,3,0.625
40,0.7,0.7,60,8,8,5,3,0.625
40,0.7,0.7,120,8,8,5,3,0.625
40,0.7,0.8,0,7,7,4,3,0.5714285714285714
40,0.7,0.8,30,7,7,4,3,0.5714285714285714
40,0.7,0.8,60,7,7,4,3,0.5714285714285714
40,0.7,0.8,120,7,7,4,3,0.5714285714285714
40,0.7,0.9,0,6,6,3,3,0.5
40,0.7,0.9,30,6,6,3,3,0.5
40,0.7,0.9,60,6,6,3,3,0.5
40,0.7,0.9,120,6,6,3,3,0.5
40,0.8,0.5,0,8,8,5,3,0.625
40,0.8,0.5,30,8,8,5,3,0.625
40,0.8,0.5,60,8,8,5,3,0.625
40,0.8,0.5,120,8,8,5,3,0.625
40,0.8,0.7,0,8,8,5,3,0.625
40,0.8,0.7,30,8,8,5,3,0.625
40,0.8,0.7,60,8,8,5,3,0.625
40,0.8,0.7,120,8,8,5,3,0.625
40,0.8,0.8,0,7,7,4,3,0.5714285714285714
40,0.8,0.8,30,7,7,4,3,0.5714285714285714
40,0.8,0.8,60,7,7,4,3,0.5714285714285714
40,0.8,0.8,120,7,7,4,3,0.5714285714285714
40,0.8,0.9,0,6,6,3,3,0.5
40,0.8,0.9,30,6,6,3,3,0.5
40,0.8,0.9,60,6,6,3,3,0.5
40,0.8,0.9,120,6,6,3,3,0.5
40,0.9,0.5,0,7,7,4,3,0.5714285714285714
40,0.9,0.5,30,7,7,4,3,0.5714285714285714
40,0.9,0.5,60,7,7,4,3,0.5714285714285714
40,0.9,0.5,120,7,7,4,3,0.5714285714285714
40,0.9,0.7,0,7,7,4,3,0.5714285714285714
40,0.9,0.7,30,7,7,4,3,0.5714285714285714
40,0.9,0.7,60,7,7,4,3,0.5714285714285714
40,0.9,0.7,120,7,7,4,3,0.5714285714285714
40,0.9,0.8,0,6,6,3,3,0.5
40,0.9,0.8,30,6,6,3,3,0.5
40,0.9,0.8,60,6,6,3,3,0.5
40,0.9,0.8,120,6,6,3,3,0.5
40,0.9,0.9,0,6,6,3,3,0.5
40,0.9,0.9,30,6,6,3,3,0.5
40,0.9,0.9,60,6,6,3,3,0.5
40,0.9,0.9,120,6,6,3,3,0.5
